Kevin Kline
Kevin McKidd
Kevin Peter Hall
Kevin Smith
Kevin Sorbo
Kevin Spacey
Kim Basinger
Kim Novak
Kim Rossi Stuart
Kirk Douglas
Kirsten Dunst
Klaus Kinski
Kris Kristofferson
Kristanna Loken
Kristen Bell
Kristen Stewart ( portraits)
Kristin Bauer
Kristin Scott Thomas
Kristofer Hivju
Kurt Russell
Kyle MacLachlan
Lambert Wilson
Lana Turner
Lance Henriksen
Laraine Day
Laura Antonelli
Laura Linney
Laura Smet
Laura Vandervoort
Laurel & Hardy
Laurel Holloman
Lauren Bacall
Lauren Holly
Laurence Fishburne
Laurence Olivier
Léa Seydoux
Lee Arenberg
Lee Jun Ki
Lee Majors
Lee Marvin
Lee Remick
Lee Van Cleef
Leelee Sobieski
Lena Olin
Léo Legrand
Leonard Whiting
Leonardo DiCaprio
Leslie Caron
Leslie Nielsen
Lex Barker
Liam Neeson
Liana Liberato
Liev Schreiber
Lili Damita
Lillian Gish
Linda Blair
Linda Darnell
Linda Hamilton
Linda Hunt
Lindsay Lohan
Lindsay Wagner
Lino Ventura
Liv Tyler
Liv Ullmann
Liza Minnelli
Lizzy Caplan
Lo Meng
Logan Lerman
Lola Glaudini
Lon Chaney Jr.
Lon Chaney Sr.
Lorant Deutsch
Loretta Young
Lou Ferrigno
Louis de Funès
Louis Garrel
Louis Jourdan
Louis Jouvet
Louise Brooks
Louise Fletcher
Luc Besson
Lucy Liu
Ludivine Sagnier
Luisana Lopilato
Luke Evans
Lupe Velez
Lupita Nyong’o
Lyndsy Fonseca
Lynn Collins
Macaulay Culkin
Mackenzie Foy
Madeleine Stowe
Madhubala
Madhuri Dixit
Mads Mikkelsen
Mae West
Maggie Cheung
Maggie Gyllenhaal
Maggie Q
Maggie Smith
Maïwenn Le Besco
Malcolm McDowell
Mammootty
Mandy Patinkin
Manisha Koirala
Marc Warren
Marc-André Grondin
Marcello Mastroianni
Marg Helgenberger
Margaret Hamilton
Maria Félix
Maria Schell
Maria Valverde
Marianne Sägebrecht
Marie Dubois
Marie Gillain
Marie Trintignant
Marie Windsor
Marie-France Pisier
Marilyn Monroe ( portraits)
Marina Vlady
Marine Delterme
Marion Cotillard
Marion Davies
Marisa Tomei
Mark Boone Junior
Mark Dacascos
Mark Hamill
Mark Ruffalo
Mark Wahlberg
Mark Williams
Marlene Dietrich
Marlène Jobert
Marley Shelton
Marlon Brando
Martha Vickers
Marthe Keller
Martin Freeman
Martin Henderson
Martin Landau
Martin Lawrence
Martin Scorsese
Martin Shaw
Martin Sheen
Martine Carol
Mary Astor
Mary Elizabeth Winstead
Mary Pickford
Mary Stuart Masterson
Maryam d’Abo
Masanobu Ando
Mathieu Amalric
Mathieu Kassovitz
Mathilda May
Mathilde Seigner
Matt Damon
Matt Dillon
Matt Le Blanc
Matt Lucas
Matthew Daddario
Matthew Goode
Matthew Lewis
Matthew McConaughey
Matthias Schoenaerts
Maureen O’Hara
Maureen O’Sullivan
Max Schreck
Max Von Sydow
Maximilian Schell
Mayte Perroni
Meena Kumari
Meg Ryan
Meghan Markle
Meghan Ory
Mel Brooks
Mel Ferrer
Mel Gibson
Mélanie Doutey
Mélanie Laurent
Mélanie Thierry
Melinda Clarke
Mena Suvari
Merle Oberon
Meryem Uzerli
Meryl Streep
Mia Farrow
Mia Wasikowska
Michael Biehn
Michael Caine
Michael Clarke Duncan
Michael Crawford
Michael Cudlitz
Michael Douglas
Michael Gambon
Michael J Fox
Michael Keaton
Michael Landon
Michael Lonsdale
Michael Madsen
Michael Moore
Michael Pitt
Michael Rennie
Michael Richards
Michael Rooker
Michael Shanks
Michael Shannon
Michael Sheen
Michael T. Weiss
Michel Audiard
Michel Aumont
Michel Blanc
Michel Boujenah
Michel Bouquet
Michel Constantin
Michel Galabru
Michel Piccoli
Michel Serrault
Michel Simon
Michèle Mercier
Michèle Morgan
Michelle Pfeiffer
Michelle Williams
Michelle Yeoh
Mickey Rooney
Mickey Rourke
Mike Myers
Milla Jovovich
Minnie Driver
Miou-Miou
Miranda Otto
Miranda Richardson
Mireille Darc
Mister T
Mithun Chakraborty
Mitzi Gaynor
Mohanlal
Molly Ringwald
Monica Bellucci
Monica Cruz
Monica Vitti
Montgomery Clift
Morgan Fairchild
Morgan Freeman
Moritz Bleibtreu
Morris Chestnut
Mukesh Khanna
Mylène Demongeot
Mylène Jampanoï
Myrna Loy
Nadine Labaki
Nana Patekar
Nancy Allen
Nancy Sinatra
Naomi Watts
Naomie Harris
Nargis
Naseeruddin Shah
Nastassja Kinski
Natacha Amal
Natalia Tena
Natalia Verbeke
Natalie Portman ( portraits)
Natalie Wood
Natasha Richardson
Nathalie Baye
Nathan Fillion
Nayantara
Neetu Singh
Nelly Karim
Neve Campbell
Nicholas Hoult
Nick Castle
Nick Frost
Nick Nolte
Nico Icon
Nicolas Cage
Nicolas Silberg
Nicole Kidman
Nicoletta Braschi
Niels Schneider
Nikki Reed
Noomi Rapace
Nora Arnezeder
Norma Shearer
Norman Wisdom
Oded Fehr
Odette Yustman
Odile Vuillemin
Oliver Hardy
Oliver Reed
Olivia de Havilland
Olivia Hussey
Olivier Martinez
Om Puri
Omar Sharif
Oona Chaplin
Orlando Bloom
Ornella Muti
Orson Welles
Oscar Isaac
Oskar Werner
Otto Waalkes
Owen Wilson
Pablo Puyol
Pam Grier
Parminder Nagra
Pat Morita
Patricia Arquette
Patricia Neal
Patrick Chesnais
Patrick Dewaere
Patrick MacNee
Patrick McGoohan
Patrick Stewart
Patrick Swayze
Paul Bettany
Paul Giamatti
Paul Hogan
Paul McGann
Paul McGillion
Paul Meurisse
Paul Michael Glaser
Paul Newman
Paul Préboist
Paul Reubens
Paul Rudd
Paul Walker
Paula Patton
Paulette Goddard
Paz Vega
Pedro Almodovar
Penelope Cruz
Penn Badgley
Penny Marshall
Peta Wilson
Peter Cushing
Peter Facinelli
Peter Fonda
Peter Graves
Peter Jackson
Peter Lorre
Peter Mayhew
Peter O’Toole
Peter Sellers
Peter Ustinov
Peter Weller
Philip Seymour Hoffman
Philippe Caroit
Philippe Léotard
Philippe Noiret
Pier Angeli
Pierce Brosnan
Pierre Arditi
Pierre Brice
Pierre Fresnay
Pierre Mondy
Pierre Niney
Pierre Richard
Piper Perabo
Pola Negri
Prabhas
Pran
Preity Zinta
Priscilla Presley
Priyanka Chopra
Quentin Tarantino
Rachel Hurd-Wood
Rachel Luttrell
Rachel McAdams
Rachel Ward
Rachel Weisz
Raimu
Rainie Yang
Raj Kapoor
Rajesh Khanna
Rajinikanth
Ralph Fiennes
Ralph Macchio
Ramya Krishnan
Ranbir Kapoor
Randolph Scott
Rani Mukherji
Ranveer Singh
Raoul Bova
Raquel Welch
Raveena Tandon
Ray Bolger
Ray Liotta
Ray Milland
Ray Park
Raymond Burr
Rebecca De Mornay
Rebecca Romijn
Reema Khan
Reena Roy
Reese Witherspoon
